Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
N1,26/09/2025,19:00,Twente,For Sittard,3,2,H,1,0,H,18,8,10,4,14,13,4,5,1,2,0,0,1.42,4.75,7,1.44,4.75,6.75,1.45,4.83,7.05,1.42,4.68,6.82,1.42,4.75,7,1.45,4.83,7.05,1.41,4.7,7.16
N1,27/09/2025,15:30,Ajax,NAC Breda,2,1,H,1,1,D,12,17,7,7,11,14,2,7,2,4,0,1,1.27,6,9.5,1.29,6,9.25,1.26,5.95,10.12,1.26,6.15,9.25,1.3,5.75,9.25,1.3,5.98,10.32,1.28,5.79,9.48
N1,27/09/2025,17:45,Volendam,Zwolle,2,1,H,1,1,D,15,14,3,2,11,12,3,5,2,3,0,0,2.75,3.5,2.45,2.7,3.6,2.4,2.65,3.58,2.54,2.66,3.56,2.44,2.45,3.5,2.8,2.38,3.54,2.79,2.44,3.53,2.69
N1,27/09/2025,19:00,Excelsior,PSV Eindhoven,1,2,A,1,1,D,18,18,5,8,8,5,3,2,0,0,0,0,9,7,1.25,9.5,6.5,1.26,8.71,6.65,1.25,9.66,6.5,1.24,7,5.75,1.42,7.21,6.16,1.36,6.76,5.42
N1,27/09/2025,20:00,Heracles,Sparta Rotterdam,3,0,H,1,0,H,12,18,5,5,12,11,5,4,2,4,0,0,2.9,3.8,2.2,3,3.7,2.15,3.09,3.73,2.18,3,3.67,2.17,2.4,3.6,2.7,2.64,3.6,2.66,2.45,3.61,2.66
N1,28/09/2025,11:15,Nijmegen,AZ Alkmaar,2,1,H,1,0,H,14,7,4,2,14,16,5,4,1,6,0,1,3,4.1,2.1,3,4,2.1,2.96,4.18,2.11,3.02,3.97,2.08,3.3,4.1,1.95,3.18,4.1,2.1,3.23,4.01,1.98
N1,28/09/2025,13:30,Groningen,Feyenoord,0,1,A,0,0,D,12,11,5,5,16,6,3,4,2,2,1,0,4.5,3.9,1.75,4.33,4,1.73,4.45,3.82,1.76,4.35,3.92,1.72,4.33,3.25,1.9,4.19,3.59,1.93,4.03,3.45
N1,28/09/2025,13:30,Utrecht,Heerenveen,2,2,D,1,1,D,14,10,5,4,14,12,5,3,2,2,0,0,1.8,4,3.9,1.8,3.9,4,1.84,3.97,3.88,1.8,3.87,3.95,1.8,4,4,1.8,3.87,3.78,1.77,3.88,4.19
N1,28/09/2025,15:45,Telstar,Go Ahead Eagles,4,2,H,2,1,H,20,13,9,4,13,9,8,3,2,0,0,0,2.8,3.75,2.3,2.8,3.7,2.3,2.92,3.69,2.29,2.84,3.62,2.27,2.8,3.7,2.3,3.02,3.71,2.31,2.85,3.63,2.29
N1,03/10/2025,19:00,NAC Breda,Groningen,1,2,A,0,1,A,11,14,4,9,16,14,7,6,3,1,0,0,2.6,3.3,2.63,2.6,3.4,2.6,2.68,3.45,2.7,2.63,3.3,2.6,2.6,3.3,2.63,2.62,3.48,2.74,2.61,3.3,2.64
N1,04/10/2025,15:30,Sparta Rotterdam,Ajax,3,3,D,1,1,D,14,17,5,4,8,9,6,4,1,3,0,0,4.1,4.1,1.75,3.9,4.1,1.8,4.16,4.14,1.75,3.97,4,1.77,4.33,4.1,1.73,4.58,4.27,1.71,4.38,4.04
