Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
P1,04/10/2025,18:00,AVS,Alverca,1,3,A,1,1,D,5,12,2,6,16,6,0,5,3,2,0,0,2.75,3.2,2.5,2.8,3.1,2.55,2.9,3.17,2.57,2.86,3.05,2.5,3.25,3.25,2.2,3.06,3.14,2.58,3.15,3.09
P1,04/10/2025,20:30,Guimaraes,Santa Clara,2,1,H,0,1,A,14,13,7,5,17,11,9,3,4,5,0,0,2.32,3,3.2,2.37,3,3.1,2.42,3.12,3.17,2.4,2.97,3.07,3,2.85,2.5,3.11,2.89,2.74,2.94,2.86,2.58
P1,05/10/2025,15:30,Arouca,Famalicao,1,1,D,0,0,D,7,14,3,5,22,12,4,11,5,1,1,0,3.6,3.25,2.01,3.4,3.3,2.05,3.71,3.39,2.06,3.41,3.27,2.07,3.9,3.5,1.86,4.21,3.6,1.93,3.98,3.44
P1,05/10/2025,17:30,Rio Ave,Tondela,3,0,H,2,0,H,13,13,7,3,15,15,6,7,7,4,1,1,2.25,3.4,3,2.35,3.4,2.85,2.28,3.41,3.13,2.3,3.34,2.93,2.57,3.3,2.57,2.56,3.38,2.89,2.48,3.29,2.71
P1,05/10/2025,19:15,Sp Lisbon,Sp Braga,1,1,D,1,0,H,13,11,3,5,19,12,1,5,4,5,0,0,1.41,4.33,7,1.47,4.4,6,1.47,4.59,6.25,1.45,4.4,6.26,1.41,4.5,7,1.5,4.82,6.19,1.44,4.51,6.39
P1,05/10/2025,21:15,Porto,Benfica,0,0,D,0,0,D,8,4,2,1,16,6,3,3,6,2,0,0,2.01,3.4,3.7,2.05,3.3,3.5,2.03,3.5,3.67,2.02,3.38,3.51,1.91,3.5,3.75,2.09,3.39,3.84,2.02,3.36,3.66
P1,24/10/2025,20:15,Alverca,Gil Vicente,0,4,A,0,2,A,6,12,2,5,12,18,1,4,3,4,0,1,2.95,3.2,2.32,3.1,3,2.4,3.3,3.06,2.48,3.07,3.04,2.36,3.2,3.2,2.25,3.4,3.09,2.41,3.12,3.04
P1,25/10/2025,18:00,Santa Clara,AVS,2,0,H,0,0,D,20,7,5,2,10,15,8,4,1,1,0,0,1.49,3.8,7,1.55,3.8,6.25,1.53,3.91,6.89,1.51,3.78,6.74,1.45,3.9,7.5,1.52,4.08,7.39,1.47,3.89,7.05
P1,25/10/2025,20:30,Benfica,Arouca,5,0,H,3,0,H,17,5,8,0,13,18,9,1,2,2,0,0,1.15,7,13,1.18,7.25,14,1.16,8.16,14.07,1.16,7.13,14.09,1.11,8.5,13,1.18,8.3,13.63,1.17,7.11,12.66
P1,25/10/2025,20:30,Estrela,Rio Ave,1,2,A,1,0,H,16,8,2,2,16,20,4,5,3,6,0,0,2.57,3.2,2.7,2.55,3.2,2.7,2.65,3.25,2.75,2.56,3.17,2.69,2.85,3.25,2.4,3.1,3.19,2.52,2.9,3.11,2.43
P1,26/10/2025,15:30,Estoril,Nacional,1,1,D,0,1,A,13,9,4,4,13,15,6,5,3,3,0,0,2.15,3.25,3.3,2.2,3.4,3.1,2.25,3.43,3.19,2.19,3.32,3.12,2.32,3.2,2.95,2.48,3.33,3.03,2.31,3.24,2.98
P1,26/10/2025,15:30,Famalicao,Guimaraes,2,0,H,1,0,H,15,13,10,3,20,14,5,4,1,2,0,0,1.91,3.3,4.1,1.95,3.3,3.9,1.93,3.44,4.09,1.92,3.3,3.95,1.71,3.7,4.5,1.8,3.67,4.79,1.76,3.57,4.43
P1,26/10/2025,18:00,Tondela,Sp Lisbon,0,3,A,0,1,A,9,29,2,15,12,12,2,9,3,1,0,0,9,6,1.24,9.75,5.75,1.27,9.88,6.02,1.26,9.8,5.67,1.25,10,6.5,1.19,11.48,6.58,1.25,11.22,6.1
P1,26/10/2025,20:30,Sp Braga,Casa Pia,4,0,H,2,0,H,15,3,8,1,16,16,4,2,1,3,0,0,1.39,4.5,7,1.43,4.5,7,1.4,4.53,8.19,1.41,4.39,7.27,1.39,4.5,6.5,1.41,4.74,8.42,1.4,4.4,7.4
P1,27/10/2025,20:15,Moreirense,Porto,1,2,A,1,1,D,8,16,1,7,15,13,2,7,3,1,0,0,9.5,5.5,1.27,8.75,4.8,1.34,9.42,5.18,1.32,9.13,4.87,1.31,9.5,5.75,1.25,11.56,5.86,1.28,10.41,5.46
P1,31/10/2025,20:15,Sp Lisbon,Alverca,2,0,H,0,0,D,27,8,8,0,9,10,10,0,1,1,0,0,1.1,9,17,1.12,9.25,18,1.1,10.8,22.59,1.11,8.55,18.81,1.05,10,21,1.1,10.54,21.65,1.06,8.98,20.75
P1,01/11/2025,15:30,Nacional,Famalicao,0,1,A,0,1,A,8,20,3,4,15,18,3,10,4,6,1,0,3.2,3.25,2.2,3,3.4,2.25,3.14,3.37,2.3,3.08,3.33,2.21,3.2,3.25,2.2,3.29,3.49,2.26,3.05,3.31,2.24
P1,01/11/2025,18:00,Casa Pia,Estrela,3,5,A,1,2,A,10,12,4,6,20,21,5,2,2,3,0,0,2.01,3.05,3.9,2.1,3.1,3.6,2.07,3.19,3.95,2.04,3.14,3.73,2.2,2.95,3.5,2.29,3.03,3.4,2.25,3.05,3.4
P1,01/11/2025,18:00,Rio Ave,Estoril,0,4,A,0,2,A,2,24,0,6,10,14,0,6,2,1,1,0,2.35,3.2,2.95,2.4,3.4,2.8,2.49,3.19,3,2.4,3.26,2.83,2.15,3.25,3.3,2.32,3.29,3.34,2.21,3.28,3.13
P1,01/11/2025,20:30,Guimaraes,Benfica,0,3,A,0,0,D,10,24,3,10,12,11,3,6,3,4,1,0,6,4.75,1.42,6.25,4.4,1.46,6.25,4.71,1.46,6.23,4.38,1.46,6.25,4.5,1.42,6.64,4.62,1.49,7.23,4.34
P1,02/11/2025,15:30,AVS,Tondela,2,2,D,1,1,D,15,10,5,3,18,17,5,3,4,4,0,0,3.2,3.05,2.3,3,3.25,2.3,3.15,3.23,2.37,3.13,3.18,2.27,3.05,3.05,2.35,3.23,3.18,2.45,3.04,3.09,2.36
P1,02/11/2025,18:00,Arouca,Moreirense,0,2,A,0,2,A,11,6,2,5,11,11,5,2,3,2,0,0,2.57,3.2,2.65,2.6,3.3,2.7,2.58,3.29,2.79,2.52,3.21,2.74,2.5,3.2,2.82,2.58,3.25,2.96,2.47,3.14,2.83
P1,02/11/2025,20:30,Porto,Sp Braga,2,1,H,1,0,H,9,10,4,3,15,13,2,3,3,3,0,0,1.49,4,6.25,1.52,4.1,6,1.53,4.14,6.24,1.5,4.09,6.18,1.49,4.1,6.25,1.55,4.12,6.63,1.51,4.05,6.07
P1,03/11/2025,20:45,Gil Vicente,Santa Clara,1,0,H,1,0,H,9,15,3,4,16,14,2,0,2,3,0,0,2.25,2.95,3.4,2.3,3,3.2,2.36,3,3.41,2.32,3,3.23,1.91,3.05,4.33,2.02,3.07,4.65,1.99,2.99,4.22
P1,07/11/2025,20:15,Estoril,Arouca,4,3,H,2,2,D,19,10,7,4,9,13,10,2,1,1,0,0,1.91,3.6,3.7,2,3.5,3.5,2.03,3.54,3.87,1.99,3.46,3.55,1.86,3.7,3.7,1.99,3.55,4,1.95,3.45,3.66
P1,08/11/2025,15:30,Alverca,Rio Ave,1,1,D,0,1,A,15,11,5,4,15,16,9,3,2,0,0,0,2.15,3.3,3.2,2.25,3.25,3.1,2.3,3.27,3.24,2.24,3.24,3.11,2.1,3.4,3.25,2.2,3.24,3.62,2.14,3.24,3.34
