Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
D1,25/10/2025,14:30,Hamburg,Wolfsburg,0,1,A,0,1,A,27,6,6,2,8,18,11,1,1,5,0,0,2.35,3.5,2.9,2.35,3.7,2.8,2.4,3.73,2.88,2.32,3.58,2.81,2.2,3.6,3.1,2.21,3.76,3.24,2.16,3.66,3.08
D1,25/10/2025,14:30,Hoffenheim,Heidenheim,3,1,H,2,0,H,14,12,7,3,14,13,7,5,1,1,0,0,1.57,4.5,5.25,1.58,4.5,5,1.6,4.45,5.32,1.57,4.38,5.03,1.6,4.33,5.25,1.6,4.5,5.32,1.57,4.37,5.13
D1,25/10/2025,14:30,M'gladbach,Bayern Munich,0,3,A,0,0,D,1,27,0,11,6,9,1,8,0,3,1,0,10,6.5,1.22,10,7,1.24,11.5,7.11,1.23,10.53,6.81,1.22,11,7,1.22,10.65,7,1.24,9.37,6.73,1.24
D1,25/10/2025,17:30,Dortmund,FC Koln,1,0,H,0,0,D,27,5,9,0,10,8,17,2,2,2,0,0,1.44,5.25,6.5,1.43,5,6.5,1.46,4.96,6.64,1.42,4.97,6.36,1.36,5.25,7.5,1.39,5.38,7.8,1.37,5.12,7.38
D1,26/10/2025,14:30,Leverkusen,Freiburg,2,0,H,1,0,H,19,10,4,3,9,8,2,3,1,2,0,1,1.83,3.9,4,1.77,3.9,4.33,1.84,3.92,4.2,1.77,3.82,4.17,2,3.7,3.5,2.02,3.59,3.91,2,3.6,3.68
D1,26/10/2025,16:30,Stuttgart,Mainz,2,1,H,1,1,D,19,13,8,2,11,12,7,5,4,3,0,0,1.75,4,4.33,1.75,4,4.2,1.79,4.13,4.24,1.73,3.99,4.22,2.1,3.4,3.4,2.16,3.63,3.44,2.06,3.61,3.33
D1,31/10/2025,19:30,Augsburg,Dortmund,0,1,A,0,1,A,9,5,1,1,14,16,4,3,4,1,0,0,5,4.5,1.57,5,4.33,1.6,5.3,4.42,1.61,5.03,4.34,1.58,5.25,4.33,1.55,5.34,4.42,1.6,5.37,4.35,1.55
D1,01/11/2025,14:30,Heidenheim,Ein Frankfurt,1,1,D,1,0,H,9,16,4,3,7,11,2,8,0,2,0,0,3.6,4,1.9,3.4,3.9,1.95,3.69,4.18,1.9,3.48,3.96,1.91,4.1,4.1,1.8,3.88,4.14,1.88,4,4.03,1.77
D1,01/11/2025,14:30,Mainz,Werder Bremen,1,1,D,1,0,H,10,5,5,3,19,11,2,0,1,3,0,0,1.95,3.9,3.5,2,3.8,3.4,2.02,3.92,3.51,1.99,3.77,3.37,1.85,3.7,3.9,2.02,4.02,4.27,1.86,3.81,3.8
D1,01/11/2025,14:30,RB Leipzig,Stuttgart,3,1,H,1,0,H,16,14,9,4,8,10,5,5,1,2,0,0,1.95,3.9,3.5,1.98,3.9,3.4,2.02,3.88,3.55,1.97,3.87,3.35,2.1,3.8,3.25,2.04,3.89,3.55,2.09,3.76,3.17
